PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Age,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Age
1,0,3,male,22.0,1,0,7.25,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
2,1,1,female,38.0,1,0,71.2833,C,1,0,1,0,0,1,0,0,"(20, 40]",1,0,1,0,0,1,0,0,"(20, 40]"
3,1,3,female,26.0,0,0,7.925,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
4,1,1,female,35.0,1,0,53.1,S,1,0,0,0,1,1,0,0,"(20, 40]",1,0,0,0,1,1,0,0,"(20, 40]"
5,0,3,male,35.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
6,0,3,male,28.0,0,0,8.4583,Q,0,1,0,1,0,0,0,1,"(20, 40]",0,1,0,1,0,0,0,1,"(20, 40]"
7,0,1,male,54.0,0,0,51.8625,S,0,1,0,0,1,1,0,0,"(40, 60]",0,1,0,0,1,1,0,0,"(40, 60]"
8,0,3,male,2.0,3,1,21.075,S,0,1,0,0,1,0,0,1,"(0, 10]",0,1,0,0,1,0,0,1,"(0, 10]"
9,1,3,female,27.0,0,2,11.1333,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
10,1,2,female,14.0,1,0,30.0708,C,1,0,1,0,0,0,1,0,"(10, 20]",1,0,1,0,0,0,1,0,"(10, 20]"
11,1,3,female,4.0,1,1,16.7,S,1,0,0,0,1,0,0,1,"(0, 10]",1,0,0,0,1,0,0,1,"(0, 10]"
12,1,1,female,58.0,0,0,26.55,S,1,0,0,0,1,1,0,0,"(40, 60]",1,0,0,0,1,1,0,0,"(40, 60]"
13,0,3,male,20.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(10, 20]",0,1,0,0,1,0,0,1,"(10, 20]"
14,0,3,male,39.0,1,5,31.275,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
15,0,3,female,14.0,0,0,7.8542,S,1,0,0,0,1,0,0,1,"(10, 20]",1,0,0,0,1,0,0,1,"(10, 20]"
16,1,2,female,55.0,0,0,16.0,S,1,0,0,0,1,0,1,0,"(40, 60]",1,0,0,0,1,0,1,0,"(40, 60]"
17,0,3,male,2.0,4,1,29.125,Q,0,1,0,1,0,0,0,1,"(0, 10]",0,1,0,1,0,0,0,1,"(0, 10]"
18,1,2,male,28.0,0,0,13.0,S,0,1,0,0,1,0,1,0,"(20, 40]",0,1,0,0,1,0,1,0,"(20, 40]"
19,0,3,female,31.0,1,0,18.0,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
20,1,3,female,28.0,0,0,7.225,C,1,0,1,0,0,0,0,1,"(20, 40]",1,0,1,0,0,0,0,1,"(20, 40]"
21,0,2,male,35.0,0,0,26.0,S,0,1,0,0,1,0,1,0,"(20, 40]",0,1,0,0,1,0,1,0,"(20, 40]"
22,1,2,male,34.0,0,0,13.0,S,0,1,0,0,1,0,1,0,"(20, 40]",0,1,0,0,1,0,1,0,"(20, 40]"
23,1,3,female,15.0,0,0,8.0292,Q,1,0,0,1,0,0,0,1,"(10, 20]",1,0,0,1,0,0,0,1,"(10, 20]"
24,1,1,male,28.0,0,0,35.5,S,0,1,0,0,1,1,0,0,"(20, 40]",0,1,0,0,1,1,0,0,"(20, 40]"
25,0,3,female,8.0,3,1,21.075,S,1,0,0,0,1,0,0,1,"(0, 10]",1,0,0,0,1,0,0,1,"(0, 10]"
26,1,3,female,38.0,1,5,31.3875,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
27,0,3,male,28.0,0,0,7.225,C,0,1,1,0,0,0,0,1,"(20, 40]",0,1,1,0,0,0,0,1,"(20, 40]"
28,0,1,male,19.0,3,2,263.0,S,0,1,0,0,1,1,0,0,"(10, 20]",0,1,0,0,1,1,0,0,"(10, 20]"
29,1,3,female,28.0,0,0,7.8792,Q,1,0,0,1,0,0,0,1,"(20, 40]",1,0,0,1,0,0,0,1,"(20, 40]"
30,0,3,male,28.0,0,0,7.8958,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
31,0,1,male,40.0,0,0,27.7208,C,0,1,1,0,0,1,0,0,"(20, 40]",0,1,1,0,0,1,0,0,"(20, 40]"
32,1,1,female,28.0,1,0,146.5208,C,1,0,1,0,0,1,0,0,"(20, 40]",1,0,1,0,0,1,0,0,"(20, 40]"
33,1,3,female,28.0,0,0,7.75,Q,1,0,0,1,0,0,0,1,"(20, 40]",1,0,0,1,0,0,0,1,"(20, 40]"
34,0,2,male,66.0,0,0,10.5,S,0,1,0,0,1,0,1,0,"(60, 80]",0,1,0,0,1,0,1,0,"(60, 80]"
35,0,1,male,28.0,1,0,82.1708,C,0,1,1,0,0,1,0,0,"(20, 40]",0,1,1,0,0,1,0,0,"(20, 40]"
36,0,1,male,42.0,1,0,52.0,S,0,1,0,0,1,1,0,0,"(40, 60]",0,1,0,0,1,1,0,0,"(40, 60]"
37,1,3,male,28.0,0,0,7.2292,C,0,1,1,0,0,0,0,1,"(20, 40]",0,1,1,0,0,0,0,1,"(20, 40]"
38,0,3,male,21.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
39,0,3,female,18.0,2,0,18.0,S,1,0,0,0,1,0,0,1,"(10, 20]",1,0,0,0,1,0,0,1,"(10, 20]"
40,1,3,female,14.0,1,0,11.2417,C,1,0,1,0,0,0,0,1,"(10, 20]",1,0,1,0,0,0,0,1,"(10, 20]"
41,0,3,female,40.0,1,0,9.475,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
42,0,2,female,27.0,1,0,21.0,S,1,0,0,0,1,0,1,0,"(20, 40]",1,0,0,0,1,0,1,0,"(20, 40]"
43,0,3,male,28.0,0,0,7.8958,C,0,1,1,0,0,0,0,1,"(20, 40]",0,1,1,0,0,0,0,1,"(20, 40]"
44,1,2,female,3.0,1,2,41.5792,C,1,0,1,0,0,0,1,0,"(0, 10]",1,0,1,0,0,0,1,0,"(0, 10]"
45,1,3,female,19.0,0,0,7.8792,Q,1,0,0,1,0,0,0,1,"(10, 20]",1,0,0,1,0,0,0,1,"(10, 20]"
46,0,3,male,28.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
47,0,3,male,28.0,1,0,15.5,Q,0,1,0,1,0,0,0,1,"(20, 40]",0,1,0,1,0,0,0,1,"(20, 40]"
48,1,3,female,28.0,0,0,7.75,Q,1,0,0,1,0,0,0,1,"(20, 40]",1,0,0,1,0,0,0,1,"(20, 40]"
49,0,3,male,28.0,2,0,21.6792,C,0,1,1,0,0,0,0,1,"(20, 40]",0,1,1,0,0,0,0,1,"(20, 40]"
50,0,3,female,18.0,1,0,17.8,S,1,0,0,0,1,0,0,1,"(10, 20]",1,0,0,0,1,0,0,1,"(10, 20]"
51,0,3,male,7.0,4,1,39.6875,S,0,1,0,0,1,0,0,1,"(0, 10]",0,1,0,0,1,0,0,1,"(0, 10]"
52,0,3,male,21.0,0,0,7.8,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
53,1,1,female,49.0,1,0,76.7292,C,1,0,1,0,0,1,0,0,"(40, 60]",1,0,1,0,0,1,0,0,"(40, 60]"
54,1,2,female,29.0,1,0,26.0,S,1,0,0,0,1,0,1,0,"(20, 40]",1,0,0,0,1,0,1,0,"(20, 40]"
55,0,1,male,65.0,0,1,61.9792,C,0,1,1,0,0,1,0,0,"(60, 80]",0,1,1,0,0,1,0,0,"(60, 80]"
56,1,1,male,28.0,0,0,35.5,S,0,1,0,0,1,1,0,0,"(20, 40]",0,1,0,0,1,1,0,0,"(20, 40]"
57,1,2,female,21.0,0,0,10.5,S,1,0,0,0,1,0,1,0,"(20, 40]",1,0,0,0,1,0,1,0,"(20, 40]"
58,0,3,male,28.5,0,0,7.2292,C,0,1,1,0,0,0,0,1,"(20, 40]",0,1,1,0,0,0,0,1,"(20, 40]"
59,1,2,female,5.0,1,2,27.75,S,1,0,0,0,1,0,1,0,"(0, 10]",1,0,0,0,1,0,1,0,"(0, 10]"
60,0,3,male,11.0,5,2,46.9,S,0,1,0,0,1,0,0,1,"(10, 20]",0,1,0,0,1,0,0,1,"(10, 20]"
61,0,3,male,22.0,0,0,7.2292,C,0,1,1,0,0,0,0,1,"(20, 40]",0,1,1,0,0,0,0,1,"(20, 40]"
62,1,1,female,38.0,0,0,80.0,S,1,0,0,0,1,1,0,0,"(20, 40]",1,0,0,0,1,1,0,0,"(20, 40]"
63,0,1,male,45.0,1,0,83.475,S,0,1,0,0,1,1,0,0,"(40, 60]",0,1,0,0,1,1,0,0,"(40, 60]"
64,0,3,male,4.0,3,2,27.9,S,0,1,0,0,1,0,0,1,"(0, 10]",0,1,0,0,1,0,0,1,"(0, 10]"
65,0,1,male,28.0,0,0,27.7208,C,0,1,1,0,0,1,0,0,"(20, 40]",0,1,1,0,0,1,0,0,"(20, 40]"
66,1,3,male,28.0,1,1,15.2458,C,0,1,1,0,0,0,0,1,"(20, 40]",0,1,1,0,0,0,0,1,"(20, 40]"
67,1,2,female,29.0,0,0,10.5,S,1,0,0,0,1,0,1,0,"(20, 40]",1,0,0,0,1,0,1,0,"(20, 40]"
68,0,3,male,19.0,0,0,8.1583,S,0,1,0,0,1,0,0,1,"(10, 20]",0,1,0,0,1,0,0,1,"(10, 20]"
69,1,3,female,17.0,4,2,7.925,S,1,0,0,0,1,0,0,1,"(10, 20]",1,0,0,0,1,0,0,1,"(10, 20]"
70,0,3,male,26.0,2,0,8.6625,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
71,0,2,male,32.0,0,0,10.5,S,0,1,0,0,1,0,1,0,"(20, 40]",0,1,0,0,1,0,1,0,"(20, 40]"
72,0,3,female,16.0,5,2,46.9,S,1,0,0,0,1,0,0,1,"(10, 20]",1,0,0,0,1,0,0,1,"(10, 20]"
73,0,2,male,21.0,0,0,73.5,S,0,1,0,0,1,0,1,0,"(20, 40]",0,1,0,0,1,0,1,0,"(20, 40]"
74,0,3,male,26.0,1,0,14.4542,C,0,1,1,0,0,0,0,1,"(20, 40]",0,1,1,0,0,0,0,1,"(20, 40]"
75,1,3,male,32.0,0,0,56.4958,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
76,0,3,male,25.0,0,0,7.65,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
77,0,3,male,28.0,0,0,7.8958,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
78,0,3,male,28.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
79,1,2,male,0.83,0,2,29.0,S,0,1,0,0,1,0,1,0,"(0, 10]",0,1,0,0,1,0,1,0,"(0, 10]"
80,1,3,female,30.0,0,0,12.475,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
81,0,3,male,22.0,0,0,9.0,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
82,1,3,male,29.0,0,0,9.5,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
83,1,3,female,28.0,0,0,7.7875,Q,1,0,0,1,0,0,0,1,"(20, 40]",1,0,0,1,0,0,0,1,"(20, 40]"
84,0,1,male,28.0,0,0,47.1,S,0,1,0,0,1,1,0,0,"(20, 40]",0,1,0,0,1,1,0,0,"(20, 40]"
85,1,2,female,17.0,0,0,10.5,S,1,0,0,0,1,0,1,0,"(10, 20]",1,0,0,0,1,0,1,0,"(10, 20]"
86,1,3,female,33.0,3,0,15.85,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
87,0,3,male,16.0,1,3,34.375,S,0,1,0,0,1,0,0,1,"(10, 20]",0,1,0,0,1,0,0,1,"(10, 20]"
88,0,3,male,28.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
89,1,1,female,23.0,3,2,263.0,S,1,0,0,0,1,1,0,0,"(20, 40]",1,0,0,0,1,1,0,0,"(20, 40]"
90,0,3,male,24.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
91,0,3,male,29.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
92,0,3,male,20.0,0,0,7.8542,S,0,1,0,0,1,0,0,1,"(10, 20]",0,1,0,0,1,0,0,1,"(10, 20]"
93,0,1,male,46.0,1,0,61.175,S,0,1,0,0,1,1,0,0,"(40, 60]",0,1,0,0,1,1,0,0,"(40, 60]"
94,0,3,male,26.0,1,2,20.575,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
95,0,3,male,59.0,0,0,7.25,S,0,1,0,0,1,0,0,1,"(40, 60]",0,1,0,0,1,0,0,1,"(40, 60]"
96,0,3,male,28.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
97,0,1,male,71.0,0,0,34.6542,C,0,1,1,0,0,1,0,0,"(60, 80]",0,1,1,0,0,1,0,0,"(60, 80]"
98,1,1,male,23.0,0,1,63.3583,C,0,1,1,0,0,1,0,0,"(20, 40]",0,1,1,0,0,1,0,0,"(20, 40]"
99,1,2,female,34.0,0,1,23.0,S,1,0,0,0,1,0,1,0,"(20, 40]",1,0,0,0,1,0,1,0,"(20, 40]"
100,0,2,male,34.0,1,0,26.0,S,0,1,0,0,1,0,1,0,"(20, 40]",0,1,0,0,1,0,1,0,"(20, 40]"
101,0,3,female,28.0,0,0,7.8958,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
102,0,3,male,28.0,0,0,7.8958,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
103,0,1,male,21.0,0,1,77.2875,S,0,1,0,0,1,1,0,0,"(20, 40]",0,1,0,0,1,1,0,0,"(20, 40]"
104,0,3,male,33.0,0,0,8.6542,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
105,0,3,male,37.0,2,0,7.925,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
106,0,3,male,28.0,0,0,7.8958,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
107,1,3,female,21.0,0,0,7.65,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
108,1,3,male,28.0,0,0,7.775,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
109,0,3,male,38.0,0,0,7.8958,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
110,1,3,female,28.0,1,0,24.15,Q,1,0,0,1,0,0,0,1,"(20, 40]",1,0,0,1,0,0,0,1,"(20, 40]"
111,0,1,male,47.0,0,0,52.0,S,0,1,0,0,1,1,0,0,"(40, 60]",0,1,0,0,1,1,0,0,"(40, 60]"
112,0,3,female,14.5,1,0,14.4542,C,1,0,1,0,0,0,0,1,"(10, 20]",1,0,1,0,0,0,0,1,"(10, 20]"
113,0,3,male,22.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
114,0,3,female,20.0,1,0,9.825,S,1,0,0,0,1,0,0,1,"(10, 20]",1,0,0,0,1,0,0,1,"(10, 20]"
115,0,3,female,17.0,0,0,14.4583,C,1,0,1,0,0,0,0,1,"(10, 20]",1,0,1,0,0,0,0,1,"(10, 20]"
116,0,3,male,21.0,0,0,7.925,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
117,0,3,male,70.5,0,0,7.75,Q,0,1,0,1,0,0,0,1,"(60, 80]",0,1,0,1,0,0,0,1,"(60, 80]"
118,0,2,male,29.0,1,0,21.0,S,0,1,0,0,1,0,1,0,"(20, 40]",0,1,0,0,1,0,1,0,"(20, 40]"
119,0,1,male,24.0,0,1,247.5208,C,0,1,1,0,0,1,0,0,"(20, 40]",0,1,1,0,0,1,0,0,"(20, 40]"
120,0,3,female,2.0,4,2,31.275,S,1,0,0,0,1,0,0,1,"(0, 10]",1,0,0,0,1,0,0,1,"(0, 10]"
121,0,2,male,21.0,2,0,73.5,S,0,1,0,0,1,0,1,0,"(20, 40]",0,1,0,0,1,0,1,0,"(20, 40]"
122,0,3,male,28.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
123,0,2,male,32.5,1,0,30.0708,C,0,1,1,0,0,0,1,0,"(20, 40]",0,1,1,0,0,0,1,0,"(20, 40]"
124,1,2,female,32.5,0,0,13.0,S,1,0,0,0,1,0,1,0,"(20, 40]",1,0,0,0,1,0,1,0,"(20, 40]"
125,0,1,male,54.0,0,1,77.2875,S,0,1,0,0,1,1,0,0,"(40, 60]",0,1,0,0,1,1,0,0,"(40, 60]"
126,1,3,male,12.0,1,0,11.2417,C,0,1,1,0,0,0,0,1,"(10, 20]",0,1,1,0,0,0,0,1,"(10, 20]"
127,0,3,male,28.0,0,0,7.75,Q,0,1,0,1,0,0,0,1,"(20, 40]",0,1,0,1,0,0,0,1,"(20, 40]"
128,1,3,male,24.0,0,0,7.1417,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
129,1,3,female,28.0,1,1,22.3583,C,1,0,1,0,0,0,0,1,"(20, 40]",1,0,1,0,0,0,0,1,"(20, 40]"
130,0,3,male,45.0,0,0,6.975,S,0,1,0,0,1,0,0,1,"(40, 60]",0,1,0,0,1,0,0,1,"(40, 60]"
131,0,3,male,33.0,0,0,7.8958,C,0,1,1,0,0,0,0,1,"(20, 40]",0,1,1,0,0,0,0,1,"(20, 40]"
132,0,3,male,20.0,0,0,7.05,S,0,1,0,0,1,0,0,1,"(10, 20]",0,1,0,0,1,0,0,1,"(10, 20]"
133,0,3,female,47.0,1,0,14.5,S,1,0,0,0,1,0,0,1,"(40, 60]",1,0,0,0,1,0,0,1,"(40, 60]"
134,1,2,female,29.0,1,0,26.0,S,1,0,0,0,1,0,1,0,"(20, 40]",1,0,0,0,1,0,1,0,"(20, 40]"
135,0,2,male,25.0,0,0,13.0,S,0,1,0,0,1,0,1,0,"(20, 40]",0,1,0,0,1,0,1,0,"(20, 40]"
136,0,2,male,23.0,0,0,15.0458,C,0,1,1,0,0,0,1,0,"(20, 40]",0,1,1,0,0,0,1,0,"(20, 40]"
137,1,1,female,19.0,0,2,26.2833,S,1,0,0,0,1,1,0,0,"(10, 20]",1,0,0,0,1,1,0,0,"(10, 20]"
138,0,1,male,37.0,1,0,53.1,S,0,1,0,0,1,1,0,0,"(20, 40]",0,1,0,0,1,1,0,0,"(20, 40]"
139,0,3,male,16.0,0,0,9.2167,S,0,1,0,0,1,0,0,1,"(10, 20]",0,1,0,0,1,0,0,1,"(10, 20]"
140,0,1,male,24.0,0,0,79.2,C,0,1,1,0,0,1,0,0,"(20, 40]",0,1,1,0,0,1,0,0,"(20, 40]"
141,0,3,female,28.0,0,2,15.2458,C,1,0,1,0,0,0,0,1,"(20, 40]",1,0,1,0,0,0,0,1,"(20, 40]"
142,1,3,female,22.0,0,0,7.75,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
143,1,3,female,24.0,1,0,15.85,S,1,0,0,0,1,0,0,1,"(20, 40]",1,0,0,0,1,0,0,1,"(20, 40]"
144,0,3,male,19.0,0,0,6.75,Q,0,1,0,1,0,0,0,1,"(10, 20]",0,1,0,1,0,0,0,1,"(10, 20]"
145,0,2,male,18.0,0,0,11.5,S,0,1,0,0,1,0,1,0,"(10, 20]",0,1,0,0,1,0,1,0,"(10, 20]"
146,0,2,male,19.0,1,1,36.75,S,0,1,0,0,1,0,1,0,"(10, 20]",0,1,0,0,1,0,1,0,"(10, 20]"
147,1,3,male,27.0,0,0,7.7958,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
148,0,3,female,9.0,2,2,34.375,S,1,0,0,0,1,0,0,1,"(0, 10]",1,0,0,0,1,0,0,1,"(0, 10]"
149,0,2,male,36.5,0,2,26.0,S,0,1,0,0,1,0,1,0,"(20, 40]",0,1,0,0,1,0,1,0,"(20, 40]"
150,0,2,male,42.0,0,0,13.0,S,0,1,0,0,1,0,1,0,"(40, 60]",0,1,0,0,1,0,1,0,"(40, 60]"
151,0,2,male,51.0,0,0,12.525,S,0,1,0,0,1,0,1,0,"(40, 60]",0,1,0,0,1,0,1,0,"(40, 60]"
152,1,1,female,22.0,1,0,66.6,S,1,0,0,0,1,1,0,0,"(20, 40]",1,0,0,0,1,1,0,0,"(20, 40]"
153,0,3,male,55.5,0,0,8.05,S,0,1,0,0,1,0,0,1,"(40, 60]",0,1,0,0,1,0,0,1,"(40, 60]"
154,0,3,male,40.5,0,2,14.5,S,0,1,0,0,1,0,0,1,"(40, 60]",0,1,0,0,1,0,0,1,"(40, 60]"
155,0,3,male,28.0,0,0,7.3125,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
156,0,1,male,51.0,0,1,61.3792,C,0,1,1,0,0,1,0,0,"(40, 60]",0,1,1,0,0,1,0,0,"(40, 60]"
157,1,3,female,16.0,0,0,7.7333,Q,1,0,0,1,0,0,0,1,"(10, 20]",1,0,0,1,0,0,0,1,"(10, 20]"
158,0,3,male,30.0,0,0,8.05,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
159,0,3,male,28.0,0,0,8.6625,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
160,0,3,male,28.0,8,2,69.55,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
161,0,3,male,44.0,0,1,16.1,S,0,1,0,0,1,0,0,1,"(40, 60]",0,1,0,0,1,0,0,1,"(40, 60]"
162,1,2,female,40.0,0,0,15.75,S,1,0,0,0,1,0,1,0,"(20, 40]",1,0,0,0,1,0,1,0,"(20, 40]"
163,0,3,male,26.0,0,0,7.775,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
164,0,3,male,17.0,0,0,8.6625,S,0,1,0,0,1,0,0,1,"(10, 20]",0,1,0,0,1,0,0,1,"(10, 20]"
165,0,3,male,1.0,4,1,39.6875,S,0,1,0,0,1,0,0,1,"(0, 10]",0,1,0,0,1,0,0,1,"(0, 10]"
166,1,3,male,9.0,0,2,20.525,S,0,1,0,0,1,0,0,1,"(0, 10]",0,1,0,0,1,0,0,1,"(0, 10]"
167,1,1,female,28.0,0,1,55.0,S,1,0,0,0,1,1,0,0,"(20, 40]",1,0,0,0,1,1,0,0,"(20, 40]"
168,0,3,female,45.0,1,4,27.9,S,1,0,0,0,1,0,0,1,"(40, 60]",1,0,0,0,1,0,0,1,"(40, 60]"
169,0,1,male,28.0,0,0,25.925,S,0,1,0,0,1,1,0,0,"(20, 40]",0,1,0,0,1,1,0,0,"(20, 40]"
170,0,3,male,28.0,0,0,56.4958,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
171,0,1,male,61.0,0,0,33.5,S,0,1,0,0,1,1,0,0,"(60, 80]",0,1,0,0,1,1,0,0,"(60, 80]"
172,0,3,male,4.0,4,1,29.125,Q,0,1,0,1,0,0,0,1,"(0, 10]",0,1,0,1,0,0,0,1,"(0, 10]"
173,1,3,female,1.0,1,1,11.1333,S,1,0,0,0,1,0,0,1,"(0, 10]",1,0,0,0,1,0,0,1,"(0, 10]"
174,0,3,male,21.0,0,0,7.925,S,0,1,0,0,1,0,0,1,"(20, 40]",0,1,0,0,1,0,0,1,"(20, 40]"
175,0,1,male,56.0,0,0,30.6958,C,0,1,1,0,0,1,0,0,"(40, 60]",0,1,1,0,0,1,0,0,"(40, 60]"
176,0,3,male,18.0,1,1,7.8542,S,0,1,0,0,1,0,0,1,"(10, 20]",0,1,0,0,1,0,0,1,"(10, 20]"
